msa,Covid_payment_mean,ownership_FEDERAL_mean,ownership_HOSPITAL DISTRICT OR AUTHORITY_mean,ownership_LOCAL_mean,ownership_OTHER (SPECIFY)_mean,ownership_PHYSICIAN OWNERSHIP_mean,ownership_PRIVATE (FOR PROFIT)_mean,ownership_PRIVATE (NOT FOR PROFIT)_mean,ownership_STATE_mean,ownership_TRIBAL_mean,urban_rural_URBAN_mean,teaching_YES_mean,beds_grp_100-199_mean,beds_grp_200-299_mean,beds_grp_300-399_mean,beds_grp_400-499_mean,beds_grp_500+_mean,Covid_payment_count,ownership_FEDERAL_count,ownership_HOSPITAL DISTRICT OR AUTHORITY_count,ownership_LOCAL_count,ownership_OTHER (SPECIFY)_count,ownership_PHYSICIAN OWNERSHIP_count,ownership_PRIVATE (FOR PROFIT)_count,ownership_PRIVATE (NOT FOR PROFIT)_count,ownership_STATE_count,ownership_TRIBAL_count,urban_rural_URBAN_count,teaching_YES_count,beds_grp_100-199_count,beds_grp_200-299_count,beds_grp_300-399_count,beds_grp_400-499_count,beds_grp_500+_count,Covid_payment_exists,ownership_FEDERAL_exists,ownership_HOSPITAL DISTRICT OR AUTHORITY_exists,ownership_LOCAL_exists,ownership_OTHER (SPECIFY)_exists,ownership_PHYSICIAN OWNERSHIP_exists,ownership_PRIVATE (FOR PROFIT)_exists,ownership_PRIVATE (NOT FOR PROFIT)_exists,ownership_STATE_exists,ownership_TRIBAL_exists,urban_rural_URBAN_exists,teaching_YES_exists,beds_grp_100-199_exists,beds_grp_200-299_exists,beds_grp_300-399_exists,beds_grp_400-499_exists,beds_grp_500+_exists,Covid_payment_median,ownership_FEDERAL_median,ownership_HOSPITAL DISTRICT OR AUTHORITY_median,ownership_LOCAL_median,ownership_OTHER (SPECIFY)_median,ownership_PHYSICIAN OWNERSHIP_median,ownership_PRIVATE (FOR PROFIT)_median,ownership_PRIVATE (NOT FOR PROFIT)_median,ownership_STATE_median,ownership_TRIBAL_median,urban_rural_URBAN_median,teaching_YES_median,beds_grp_100-199_median,beds_grp_200-299_median,beds_grp_300-399_median,beds_grp_400-499_median,beds_grp_500+_median,Covid_payment_mode,ownership_FEDERAL_mode,ownership_HOSPITAL DISTRICT OR AUTHORITY_mode,ownership_LOCAL_mode,ownership_OTHER (SPECIFY)_mode,ownership_PHYSICIAN OWNERSHIP_mode,ownership_PRIVATE (FOR PROFIT)_mode,ownership_PRIVATE (NOT FOR PROFIT)_mode,ownership_STATE_mode,ownership_TRIBAL_mode,urban_rural_URBAN_mode,teaching_YES_mode,beds_grp_100-199_mode,beds_grp_200-299_mode,beds_grp_300-399_mode,beds_grp_400-499_mode,beds_grp_500+_mode
23,103378.37837837837,0.0,0.0945945945945946,0.22972972972972974,0.33783783783783783,0.0,0.013513513513513514,0.2702702702702703,0.0,0.0,0.0,0.12162162162162163,0.0945945945945946,0.02702702702702703,0.013513513513513514,0.0,0.0,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,5850000.0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,342079.2079207921,0.0297029702970297,0.1485148514851485,0.25742574257425743,0.15841584158415842,0.0,0.019801980198019802,0.2871287128712871,0.0,0.0,0.0,0.0594059405940594,0.0594059405940594,0.0,0.0,0.0,0.0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,13900000.0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,177570.09345794393,0.009345794392523364,0.009345794392523364,0.37383177570093457,0.102803738317757,0.0,0.27102803738317754,0.17757009345794392,0.037383177570093455,0.0,0.0,0.04672897196261682,0.14018691588785046,0.06542056074766354,0.018691588785046728,0.0,0.009345794392523364,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,12350000.0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,551449.2753623188,0.0,0.18840579710144928,0.2318840579710145,0.18840579710144928,0.0,0.13043478260869565,0.18840579710144928,0.014492753623188406,0.0,0.0,0.057971014492753624,0.15942028985507245,0.043478260869565216,0.0,0.0,0.0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,17950000.0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,259063.86948275863,0.05172413793103448,0.10344827586206896,0.1206896551724138,0.2413793103448276,0.0,0.017241379310344827,0.39655172413793105,0.017241379310344827,0.0,0.0,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,13575704.43,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,482661.84060240956,0.012048192771084338,0.13253012048192772,0.3855421686746988,0.18072289156626506,0.0,0.024096385542168676,0.1686746987951807,0.012048192771084338,0.0,0.0,0.10843373493975904,0.060240963855421686,0.0,0.0,0.0,0.0,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,17710932.77,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,53571.42857142857,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,750000.0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.0,0.0,0.2777777777777778,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0.0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,341666.6666666667,0.1388888888888889,0.08333333333333333,0.25,0.1388888888888889,0.0,0.19444444444444445,0.1388888888888889,0.027777777777777776,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,12300000.0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,543835.1412727273,0.0,0.01818181818181818,0.14545454545454545,0.2545454545454545,0.0,0.01818181818181818,0.4727272727272727,0.03636363636363636,0.0,0.0,0.12727272727272726,0.18181818181818182,0.0,0.01818181818181818,0.0,0.0,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,17710932.77,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,305263.15789473685,0.017543859649122806,0.10526315789473684,0.19298245614035087,0.07017543859649122,0.0,0.08771929824561403,0.49122807017543857,0.0,0.0,0.0,0.15789473684210525,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.0,0.0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,12050000.0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
